,Date,Symbol,Open,Close,Low,High,Volume
56641,2010-06-25,GOOGL,477.060005,472.680021,470.560011,477.650021,4485900
57110,2010-06-28,GOOGL,472.589992,472.080005,469.010019,477.549993,3521000
57579,2010-06-29,GOOGL,463.440002,454.260013,451.119998,464.550006,6997100
58048,2010-06-30,GOOGL,454.959996,444.949996,444.720002,457.830017,7199100
58517,2010-07-01,GOOGL,445.290018,439.490007,433.629998,448.400003,7020100
58986,2010-07-02,GOOGL,441.620016,436.550018,436.000001,442.28,3868100
59455,2010-07-06,GOOGL,444.000019,436.069999,433.629998,447.669991,5115000
59924,2010-07-07,GOOGL,438.310006,450.20002,435.380016,451.289994,6253100
60393,2010-07-08,GOOGL,453.55,456.560018,449.660003,457.329999,5332400
60862,2010-07-09,GOOGL,471.960008,467.489995,462.780018,473.260006,8654300
61331,2010-07-12,GOOGL,472.369998,475.830005,471.079999,479.440008,6662100
61800,2010-07-13,GOOGL,482.250001,489.200014,480.280018,492.990013,7944600
62269,2010-07-14,GOOGL,489.879997,491.339992,486.46002,493.829992,6229700
62738,2010-07-15,GOOGL,491.730013,494.020018,482.680021,494.700002,9706600
63207,2010-07-16,GOOGL,469.120016,459.610004,459.520006,470.560011,15633900
63676,2010-07-19,GOOGL,461.010001,466.179996,457.519994,469.650003,9091400
64145,2010-07-20,GOOGL,461.03,481.590017,460.600011,482.990013,8100800
64614,2010-07-21,GOOGL,484.000019,477.499994,475.430015,485.700008,6552600
65083,2010-07-22,GOOGL,483.230007,484.809999,482.479995,488.980019,4291100
65552,2010-07-23,GOOGL,480.770006,490.059993,480.009994,490.59001,4524200
66021,2010-07-26,GOOGL,489.090017,488.970019,484.879997,490.750007,3986400
66490,2010-07-27,GOOGL,490.580011,492.629991,490.170021,497.499994,4897400
66959,2010-07-28,GOOGL,494.939996,484.35001,482.670021,495.250019,4987000
67428,2010-07-29,GOOGL,485.950002,484.989995,479.330011,488.879991,5345600
67897,2010-07-30,GOOGL,479.650003,484.849998,479.140015,487.359998,4283900
68366,2010-08-02,GOOGL,488.990019,490.410015,486.940008,493.280006,3713600
68835,2010-08-03,GOOGL,490.500013,489.829999,486.760012,492.459995,3600900
69304,2010-08-04,GOOGL,492.180002,506.319992,491.049999,507.000006,7617300
69773,2010-08-05,GOOGL,505.890003,508.10001,503.559999,508.599998,4835900
70242,2010-08-06,GOOGL,505.400015,500.220019,496.049999,505.740007,6632300
70711,2010-08-09,GOOGL,502.25,505.350016,501.359992,505.500012,3740600
71180,2010-08-10,GOOGL,502.349998,503.709995,498.569999,506.0,4143800
71649,2010-08-11,GOOGL,497.730019,491.740013,491.500019,498.000013,4441500
72118,2010-08-12,GOOGL,483.94002,492.010006,482.509994,494.75,4404700
72587,2010-08-13,GOOGL,489.000019,486.349992,486.01,491.189996,3865500
73056,2010-08-16,GOOGL,483.679996,485.59001,480.500013,489.869998,2607300
73525,2010-08-17,GOOGL,488.53,490.520012,486.03,494.700002,3777600
73994,2010-08-18,GOOGL,490.440014,482.150003,481.550018,490.870004,5367400
74463,2010-08-19,GOOGL,481.01,467.970014,467.250001,482.509994,7842100
74932,2010-08-20,GOOGL,467.970014,462.020006,461.02,471.590017,7827300
75401,2010-08-23,GOOGL,461.500019,464.070017,457.73002,468.250007,5966400
75870,2010-08-24,GOOGL,457.70002,451.389991,450.920003,458.370004,5519800
76339,2010-08-25,GOOGL,449.999995,454.620004,449.999995,457.810018,5179000
76808,2010-08-26,GOOGL,456.059999,450.980001,450.440015,457.260001,3550400
77277,2010-08-27,GOOGL,452.559993,458.829993,447.649991,459.989995,4620100
77746,2010-08-30,GOOGL,459.150015,452.690021,452.419997,459.760001,2460300
78215,2010-08-31,GOOGL,450.109992,450.019994,448.000013,454.869998,3889700
78684,2010-09-01,GOOGL,454.979995,460.330017,452.499995,464.939996,6450100
79153,2010-09-02,GOOGL,462.840017,463.180009,460.310018,464.430009,3365000
79622,2010-09-03,GOOGL,470.520012,470.300018,467.439996,471.88001,5075700
80091,2010-09-07,GOOGL,464.500007,464.400009,463.020012,467.589992,3416300
80560,2010-09-08,GOOGL,465.19002,470.580011,464.510007,472.499995,4798700
81029,2010-09-09,GOOGL,477.830017,476.179996,470.580011,480.400015,4856300
81498,2010-09-10,GOOGL,479.020018,476.139997,475.079993,479.79,3944600
81967,2010-09-13,GOOGL,480.900003,482.27,479.530006,484.35001,4478500
82436,2010-09-14,GOOGL,482.010006,480.430014,480.079993,484.750001,4428500
82905,2010-09-15,GOOGL,479.949996,480.640009,478.500001,481.890009,4800700
83374,2010-09-16,GOOGL,479.949996,481.059999,479.410009,482.449996,3935000
83843,2010-09-17,GOOGL,483.749994,490.150021,481.179996,491.199996,11271900
84312,2010-09-20,GOOGL,492.499994,508.280006,492.060005,510.410015,8798100
84781,2010-09-21,GOOGL,509.680002,513.460032,508.910021,519.979994,8923600
85250,2010-09-22,GOOGL,512.859985,516.000031,511.680014,517.779987,5069100
85719,2010-09-23,GOOGL,514.610004,513.480031,511.299993,519.690002,4630100
86188,2010-09-24,GOOGL,521.740013,527.289999,518.260036,527.829986,6707000
86657,2010-09-27,GOOGL,528.850022,530.409984,528.850022,536.85001,6208500
87126,2010-09-28,GOOGL,533.480031,527.170002,518.450032,533.590028,7302000
87595,2010-09-29,GOOGL,527.849985,527.689989,524.710001,532.939983,4340000
