Date,Open,High,Low,Close,Volume,Market Cap
"Aug 26, 2014",2.69,2.88,2.57,2.72,157503,12326200
"Aug 26, 2015",2.53,2.66,2.49,2.61,37719,14471900
"Aug 26, 2016",12.29,12.86,11.96,12.74,736721,82202600
"Aug 26, 2017",315.28,409.77,315.28,399.85,267415000,2369010000
"Aug 27, 2014",2.72,2.72,2.18,2.29,328963,12514400
"Aug 27, 2015",2.61,2.63,2.54,2.56,37604,14942900
"Aug 27, 2016",12.75,12.86,12.33,12.57,2547960,85354600
"Aug 27, 2017",400.42,400.63,358.23,362.89,121516000,3009530000
"Aug 28, 2014",2.29,2.55,2.15,2.37,158460,10516400
"Aug 28, 2015",2.56,2.64,2.51,2.6,57595,14664000
"Aug 28, 2016",12.59,12.8,12.19,12.42,932715,84279100
"Aug 28, 2017",362.5,369.19,351.24,356.78,57630700,2725220000
"Aug 29, 2014",2.38,2.59,2.36,2.55,148519,10944500
"Aug 29, 2015",2.6,2.62,2.55,2.6,39992,14899700
"Aug 29, 2016",12.36,12.79,10.91,11.68,1761660,82747200
"Aug 29, 2017",357.16,367.34,354.49,359.55,50014900,2685760000
"Aug 30, 2014",2.55,2.6,2.35,2.43,85691,11735400
"Aug 30, 2015",2.6,2.63,2.53,2.56,27911,14869600
"Aug 30, 2016",11.65,11.9,11.43,11.77,761521,78030000
"Aug 30, 2017",359.59,375.7,358.69,368.34,44586300,2704790000
"Aug 31, 2014",2.44,2.47,2.22,2.41,112735,11238900
"Aug 31, 2015",2.56,2.59,2.52,2.58,74703,14678500
"Aug 31, 2016",11.77,12.2,11.45,11.89,961216,78856900
"Aug 31, 2017",368.57,380.34,368.18,378.32,34978600,2773030000
"Dec 01, 2014",2.38,2.41,2.35,2.37,46362,11682300
"Dec 01, 2015",2.17,2.18,2.05,2.08,37007,13063600
"Dec 01, 2016",8.91,8.94,8.7,8.74,672328,61634000
"Dec 02, 2014",2.36,2.45,2.33,2.43,93651,11572600
"Dec 02, 2015",2.09,2.19,2.03,2.18,45288,12574200
"Dec 02, 2016",8.75,8.86,8.61,8.66,823934,60538100
"Dec 03, 2014",2.43,2.44,2.36,2.43,78398,11919100
"Dec 03, 2015",2.19,2.4,2.19,2.34,77349,13181700
"Dec 03, 2016",8.64,8.92,8.61,8.88,939632,59770500
"Dec 04, 2014",2.43,2.46,2.32,2.33,72131,11960500
"Dec 04, 2015",2.33,2.36,2.3,2.34,36114,14082300
"Dec 04, 2016",8.87,9.01,8.66,8.82,889416,61445900
"Dec 05, 2014",2.33,2.38,2.31,2.37,53824,11434000
"Dec 05, 2015",2.35,2.44,2.29,2.32,61252,14172200
"Dec 05, 2016",8.8,8.9,8.48,8.56,979175,61042900
"Dec 06, 2014",2.37,2.39,2.33,2.35,50201,11636200
"Dec 06, 2015",2.32,2.47,2.31,2.34,55270,14020800
"Dec 06, 2016",8.56,8.81,8.49,8.8,1016800,59386400
"Dec 07, 2014",2.36,2.39,2.33,2.37,64326,11614600
"Dec 07, 2015",2.33,2.38,2.29,2.33,40495,14054100
"Dec 07, 2016",8.78,8.82,8.66,8.68,787296,60880100
"Dec 08, 2014",2.38,2.38,2.28,2.3,39250,11700300
"Dec 08, 2015",2.33,2.4,2.28,2.4,44093,14092000
"Dec 08, 2016",8.69,8.79,8.66,8.75,713673,60292700
"Dec 09, 2014",2.29,2.3,2.2,2.26,42493,11274800
"Dec 09, 2015",2.41,2.7,2.37,2.51,121460,14595600
"Dec 09, 2016",8.75,8.85,8.72,8.83,870014,60752100
"Dec 10, 2014",2.26,2.27,2.22,2.24,39110,11141100
"Dec 10, 2015",2.5,2.52,2.44,2.44,31690,15122800
"Dec 10, 2016",8.84,8.93,8.81,8.88,781253,61391600
"Dec 11, 2014",2.23,2.33,2.2,2.29,34058,11019200
"Dec 11, 2015",2.44,2.71,2.44,2.69,46393,14761700
"Dec 11, 2016",8.88,9.59,8.78,9.54,1065390,61671200
"Dec 12, 2014",2.26,2.28,2.25,2.27,31940,11154900
"Dec 12, 2015",2.7,2.79,2.43,2.58,47864,16341800
"Dec 12, 2016",9.52,9.66,9.07,9.1,1054770,66123200
"Dec 13, 2014",2.27,2.27,2.22,2.24,26290,11197200
"Dec 13, 2015",2.59,2.75,2.54,2.73,67091,15679300
"Dec 13, 2016",9.07,9.43,9.05,9.39,971378,63064100
"Dec 14, 2014",2.23,2.26,2.21,2.24,29243,11008700
"Dec 14, 2015",2.76,2.89,2.68,2.69,102466,16723300
"Dec 14, 2016",9.4,9.42,9.1,9.16,1416530,65366300
"Dec 15, 2014",2.24,2.24,2.11,2.13,80270,11055400
"Dec 15, 2015",2.69,2.76,2.64,2.68,58882,16273500
"Dec 15, 2016",9.18,9.39,9.08,9.3,1999050,63821200
"Dec 16, 2014",2.13,2.13,1.97,1.98,71365,10533600
"Dec 16, 2015",2.69,2.73,2.55,2.69,46530,16315300
"Dec 16, 2016",9.29,9.98,9.17,9.89,1951350,64662300
"Dec 17, 2014",1.98,2.01,1.85,1.94,90504,9799650
"Dec 17, 2015",2.69,2.69,2.57,2.61,40819,16298400
"Dec 17, 2016",9.87,9.91,9.39,9.74,1964650,68667100
"Dec 18, 2014",1.94,1.94,1.77,1.81,80842,9596030
"Dec 18, 2015",2.61,2.65,2.58,2.65,39821,15820500
"Dec 18, 2016",9.72,9.94,9.64,9.89,1935260,67675800
"Dec 19, 2014",1.82,1.91,1.78,1.89,47170,9006200
"Dec 19, 2015",2.65,2.69,2.58,2.61,27223,16074600
"Dec 19, 2016",9.88,10.53,9.87,10.32,2089000,68822100
"Dec 20, 2014",1.88,2.01,1.87,1.98,43232,9327450
"Dec 20, 2015",2.61,2.64,2.46,2.49,39518,15865200
"Dec 20, 2016",10.33,10.51,10.22,10.22,2236060,71983000
"Dec 21, 2014",1.98,5.78,1.9,1.91,77552,9816190
"Dec 21, 2015",2.5,2.51,2.41,2.47,43767,15164400
"Dec 21, 2016",10.23,10.27,9.78,9.81,2189580,71265200
"Dec 22, 2014",1.91,2.01,1.86,1.91,98570,9465580
"Dec 22, 2015",2.47,2.6,2.46,2.55,47646,15026900
"Dec 22, 2016",9.84,9.93,9.21,9.79,2611390,68569100
"Dec 23, 2014",1.9,1.95,1.87,1.92,41369,9456910
"Dec 23, 2015",2.55,2.6,2.48,2.53,51744,15506300
"Dec 23, 2016",9.77,9.9,9.24,9.56,2883150,68143200
"Dec 24, 2014",1.92,1.99,1.76,1.93,121397,9532850
"Dec 24, 2015",2.53,2.78,2.53,2.77,83730,15396800
"Dec 24, 2016",9.59,10.02,9.59,9.83,2686220,66873600
"Dec 25, 2014",1.92,1.93,1.78,1.8,67416,9570580
"Dec 25, 2015",2.77,2.94,2.72,2.83,99786,16851000
"Dec 25, 2016",9.82,10.17,9.78,10.01,2578850,68476200
"Dec 26, 2014",1.82,2.07,1.78,2.03,81565,9051380
"Dec 26, 2015",2.83,2.98,2.68,2.77,96357,17218200
"Dec 26, 2016",9.98,10.17,9.7,9.7,2106310,69653100
"Dec 27, 2014",2.03,2.03,1.9,1.95,44232,10096700
"Dec 27, 2015",2.73,2.73,2.6,2.65,37590,16651400
"Dec 27, 2016",9.72,9.91,9.45,9.74,2285700,67846400
"Dec 28, 2014",1.95,1.98,1.92,1.95,32002,9697080
"Dec 28, 2015",2.64,3.05,2.63,2.98,88281,16067600
"Dec 28, 2016",9.73,10.36,9.72,10.07,2490150,67916000
"Dec 29, 2014",1.95,1.98,1.91,1.91,51742,9731420
"Dec 29, 2015",3.03,3.09,2.92,3.09,141636,18461600
"Dec 29, 2016",10.05,11.05,10.01,10.85,3237930,70227400
"Dec 30, 2014",1.92,1.95,1.89,1.89,42981,9570430
"Dec 30, 2015",3.09,4.65,3.09,3.52,524544,18810200
"Dec 30, 2016",10.83,11.44,10.72,11.11,4445310,75640100
"Dec 31, 2014",1.89,1.98,1.88,1.97,52644,9455910
"Dec 31, 2015",3.52,3.61,3.08,3.27,191862,21459700
"Dec 31, 2016",11.14,11.33,10.93,11.21,3468330,77833900
"Feb 01, 2015",1.61,1.93,1.56,1.88,296157,8174880
"Feb 01, 2016",4.11,4.23,4.01,4.12,61713,25394100
"Feb 01, 2017",16.05,16.24,15.65,16.03,2139000,113338000
"Feb 02, 2015",1.88,1.96,1.78,1.93,154511,9552660
"Feb 02, 2016",4.14,4.24,4.05,4.11,125829,25608100
"Feb 02, 2017",15.98,16.41,15.85,16.31,1350760,112934000
"Feb 03, 2015",1.93,1.96,1.75,1.79,62006,9820270
"Feb 03, 2016",4.1,9.34,4.01,4.18,85544,25379300
"Feb 03, 2017",16.31,17.61,16.31,17.52,1818910,115306000
"Feb 04, 2015",1.78,1.86,1.77,1.83,58636,9079530
"Feb 04, 2016",4.18,4.36,4.12,4.29,100963,25855900
"Feb 04, 2017",17.55,17.74,17.28,17.62,1598070,124173000
"Feb 05, 2015",1.83,1.89,1.73,1.77,49522,9349800
"Feb 05, 2016",4.29,4.38,4.23,4.28,56705,26596100
"Feb 05, 2017",17.54,17.67,16.84,17.06,1905980,124154000
"Feb 06, 2015",1.77,1.87,1.74,1.79,40361,9042210
"Feb 06, 2016",4.32,4.32,4.15,4.19,70855,26780100
"Feb 06, 2017",17.07,17.24,16.7,17.12,1025680,120894000
"Feb 07, 2015",1.8,1.87,1.8,1.86,30169,9163350
"Feb 07, 2016",4.21,4.38,4.14,4.21,108239,26116700
"Feb 07, 2017",17.11,17.51,17.04,17.14,1388260,121211000
"Feb 08, 2015",1.86,1.86,1.8,1.84,44831,9481190
"Feb 08, 2016",4.18,4.31,4.11,4.16,70569,25946900
"Feb 08, 2017",17.14,17.4,16.85,17.35,1552640,121430000
"Feb 09, 2015",1.84,2.27,1.83,2.17,270445,9392880
"Feb 09, 2016",4.16,4.19,3.95,3.97,164368,25846400
"Feb 09, 2017",17.34,17.6,15.69,16.58,1793860,122937000
"Feb 10, 2015",2.16,2.49,2.06,2.49,238651,11049300
"Feb 10, 2016",3.97,4.17,3.78,3.84,193410,24665700
"Feb 10, 2017",16.58,16.89,15.84,16.67,1386930,117570000
"Feb 11, 2015",2.48,3.43,2.46,3.23,774898,12679100
"Feb 11, 2016",3.78,3.91,3.19,3.26,243649,23519900
"Feb 11, 2017",16.69,17.22,16.6,17.15,1216530,118350000
"Feb 12, 2015",3.2,3.4,2.67,2.81,549894,16383400
"Feb 12, 2016",3.26,4.04,3.26,3.79,182601,20278400
"Feb 12, 2017",17.15,17.15,16.83,16.91,1264080,121667000
"Feb 13, 2015",2.82,3.29,2.78,2.92,228439,14443300
"Feb 13, 2016",3.79,3.89,3.57,3.77,120917,23573000
"Feb 13, 2017",16.88,17.05,16.63,16.88,1464030,119800000
"Feb 14, 2014",0.213899,0.378883,0.213899,0.374024,15422,702537
"Feb 14, 2015",2.92,3.14,2.75,2.88,208369,14945200
"Feb 14, 2016",3.8,3.92,3.75,3.8,60426,23641000
"Feb 14, 2017",16.85,18.37,16.8,18.15,1948330,119626000
"Feb 15, 2014",0.331111,0.354461,0.219434,0.314865,21119,1092120
"Feb 15, 2015",2.89,2.89,2.56,2.76,212369,14819700
"Feb 15, 2016",3.8,4.17,3.74,3.78,112454,23666400
"Feb 15, 2017",18.1,19.66,17.7,19.63,3355410,128554000
"Feb 16, 2014",0.32584,0.459833,0.310345,0.406976,28017,1085280
"Feb 16, 2015",2.77,2.9,2.69,2.75,76067,14226400
"Feb 16, 2016",3.78,4.02,3.48,3.48,180945,23519100
"Feb 16, 2017",19.64,19.81,19.14,19.52,2859140,139499000
"Feb 17, 2014",0.406039,1.5,0.402588,1.45,178618,1360260
"Feb 17, 2015",2.76,2.79,2.63,2.63,103557,14143700
"Feb 17, 2016",3.47,3.82,3.44,3.68,150307,21632400
"Feb 17, 2017",19.47,20.15,19.19,20,1859180,138366000
"Feb 18, 2014",1.18,1.5,0.841751,1.04,160779,3960320
"Feb 18, 2015",2.64,2.85,2.51,2.84,98988,13550000
"Feb 18, 2016",3.69,3.77,3.13,3.53,247042,22963300
"Feb 18, 2017",20.05,21.53,20.05,21.41,3498460,142505000
"Feb 19, 2014",1.04,1.21,0.851995,0.941647,60551,3497850
"Feb 19, 2015",2.8,2.86,2.68,2.83,84624,14398200
"Feb 19, 2016",3.54,3.75,3.47,3.51,120692,22081300
"Feb 19, 2017",21.46,23.73,21.44,22.55,5688120,152571000
"Feb 20, 2014",0.941944,1.23,0.894865,1.06,93281,3196180
"Feb 20, 2015",2.83,2.83,2.66,2.74,61415,14519800
