Date,Open,High,Low,Close,Adj Close,Volume
2015-01-14,46.150002,46.630001,45.099998,45.660000,43.420143,1409000
2015-01-15,45.669998,46.200001,45.209999,45.759998,43.515247,1224100
2015-01-16,45.730000,46.389999,45.540001,46.290001,44.019245,2202400
2015-01-20,46.599998,46.770000,45.680000,45.950001,43.695919,1263600
2015-01-21,45.740002,46.180000,45.380001,45.700001,43.458183,817600
2015-01-22,45.689999,46.639999,45.380001,46.540001,44.256981,1201100
2015-01-23,46.459999,46.779999,46.200001,46.560001,44.275997,820600
2015-01-26,46.459999,46.720001,46.130001,46.570000,44.285507,904500
2015-01-27,46.160000,46.540001,45.889999,46.080002,43.819546,738500
2015-01-28,46.080002,46.320000,44.930000,45.040001,42.830559,1131100
2015-01-29,45.270000,45.869999,44.820000,45.169998,42.954182,1502600
2015-01-30,45.119999,45.990002,44.910000,45.599998,43.363083,1435500
2015-02-02,45.610001,46.849998,45.610001,46.810001,44.513729,1345500
2015-02-03,46.980000,47.270000,46.759998,47.049999,44.741966,1025800
2015-02-04,46.919998,47.869999,46.730000,47.599998,45.264984,1123900
2015-02-05,47.779999,48.910000,47.689999,48.299999,45.930641,841800
2015-02-06,48.630001,49.240002,48.410000,49.240002,46.824535,1273300
2015-02-09,49.000000,49.130001,48.380001,48.490002,46.111320,821800
2015-02-10,48.709999,49.049999,48.070000,48.549999,46.168377,888400
2015-02-11,48.529999,49.369999,48.410000,49.180000,46.767475,985600
2015-02-12,49.290001,50.000000,49.220001,49.750000,47.309517,818600
2015-02-13,49.840000,49.980000,49.340000,49.480000,47.052753,811200
2015-02-17,49.509998,49.930000,49.259998,49.919998,47.471172,854300
2015-02-18,49.680000,50.200001,49.619999,49.910000,47.461658,821600
2015-02-19,49.619999,50.389999,49.619999,50.299999,47.832527,886500
2015-02-20,50.250000,50.959999,49.820000,50.939999,48.441132,740600
2015-02-23,50.919998,50.939999,50.419998,50.790001,48.298496,711900
2015-02-24,50.779999,51.220001,50.410000,50.650002,48.165367,888200
2015-02-25,50.650002,50.959999,50.500000,50.790001,48.298496,581700
2015-02-26,50.759998,51.000000,50.310001,50.639999,48.155849,949100
2015-02-27,50.509998,50.570000,50.090000,50.160000,47.699406,724600
2015-03-02,50.369999,50.930000,50.290001,50.919998,48.422115,761800
2015-03-03,50.900002,51.130001,50.209999,50.599998,48.117813,646700
2015-03-04,50.509998,51.099998,50.240002,51.020000,48.517216,987500
2015-03-05,51.040001,51.040001,50.400002,50.779999,48.288986,635800
2015-03-06,50.660000,51.099998,50.119999,50.189999,47.727928,742000
2015-03-09,50.259998,50.849998,50.009998,50.700001,48.212910,619100
2015-03-10,50.310001,50.389999,49.639999,49.639999,47.204903,911200
2015-03-11,49.599998,49.790001,49.240002,49.340000,47.061836,1001200
2015-03-12,49.450001,50.029999,49.450001,49.990002,47.681820,792500
2015-03-13,50.060001,50.330002,49.500000,50.250000,47.929817,865900
2015-03-16,50.619999,51.180000,50.619999,50.810001,48.463963,562500
2015-03-17,50.549999,51.000000,50.330002,50.939999,48.587955,546700
2015-03-18,50.630001,50.720001,49.200001,49.520000,47.233524,1747700
2015-03-19,49.349998,50.610001,49.259998,50.410000,48.082432,1281000
2015-03-20,50.610001,50.849998,50.250000,50.439999,48.111038,1393800
2015-03-23,50.400002,50.619999,50.049999,50.330002,48.006126,862100
2015-03-24,50.209999,50.419998,49.759998,50.169998,47.853508,986700
2015-03-25,50.110001,50.240002,49.070000,49.160000,46.890152,2018100
2015-03-26,49.009998,49.689999,48.910000,49.549999,47.262142,999500
2015-03-27,49.380001,49.770000,49.189999,49.700001,47.405216,725300
2015-03-30,49.830002,50.810001,49.779999,50.700001,48.359047,619100
2015-03-31,50.630001,51.009998,50.310001,50.939999,48.587955,1193100
2015-04-01,50.639999,50.930000,50.259998,50.459999,48.130123,884100
2015-04-02,50.410000,50.570000,49.950001,50.110001,47.796280,760700
2015-04-06,49.619999,50.630001,49.209999,50.580002,48.244579,809500
2015-04-07,50.680000,50.880001,50.009998,50.009998,47.700901,517500
2015-04-08,49.970001,50.400002,49.759998,49.919998,47.615055,917400
2015-04-09,49.860001,50.160000,49.590000,50.139999,47.824902,420000
